310169598, 45.562643305928|-122.69297640693
404437218, 45.563556118961|-122.69560297768
381078303, 45.56252131849|-122.69120877738
300463797, 45.559544571384|-122.68515763069
186014002, 45.562950725032|-122.69792613589
376108884, 45.564307682768|-122.68185688886
359810884, 45.562473809613|-122.68004326211
361961330, 45.563720534461|-122.69182141181
362941374, 45.560775367955|-122.68181449124
351406443, 45.566137925972|-122.6815874222
414672328, 45.562908016182|-122.68537301706
278565031, 45.566182246169|-122.68785960678
63848846, 45.562144190953|-122.69684947525
63849972, 45.557421586541|-122.68327420863
63850254, 45.556135090843|-122.67954614653
63842572, 45.560772254846|-122.68181318729
63840088, 45.557164227958|-122.68219188041
63843462, 45.563852970436|-122.68187804415
182751712, 45.562848829237|-122.69292568941
320442261, 45.560414287844|-122.67984215354
291321550, 45.563101309409|-122.68018959344
175932096, 45.558938419964|-122.68305704617
63829805, 45.560942851516|-122.69664217477
63807117, 45.561512346408|-122.69649077493
62761990, 45.563378133429|-122.68380914178
63755851, 45.565670348882|-122.67914235188
62896137, 45.592336641131|-122.72209327706
63807694, 45.580809949955|-122.71276431772
63830711, 45.590286446582|-122.70656801552
175921517, 45.582434542757|-122.72213399132
175922916, 45.590631367155|-122.71504799691
64405950, 45.58449425285|-122.71129020381
64618259, 45.591647758157|-122.71523411115
219307800, 45.592554879542|-122.72526771516
63917716, 45.591655554924|-122.72209844614
63945038, 45.58731738386|-122.72763531224
63983562, 45.58477026922|-122.72434984095
64009650, 45.591156218455|-122.71054180755
64030801, 45.591658251346|-122.72796424089
64043136, 45.584508311863|-122.71020754812
64151875, 45.590761364632|-122.70771683688
64163432, 45.586069749074|-122.7134264559
64171592, 45.587473641606|-122.71562044518
219777897, 45.583052102101|-122.70914445082
63900796, 45.58863964879|-122.71313755718
63843222, 45.595354838155|-122.74311373643
63844982, 45.589718948902|-122.72774803365
63832939, 45.58787813637|-122.71059653733
63833626, 45.593615246335|-122.72410882013
63870426, 45.580148340328|-122.71625535494
63855575, 45.584042755871|-122.71368687226
414683081, 45.589965244778|-122.71442665802
414679489, 45.582146292099|-122.72123882978
359769218, 45.593051403564|-122.72283784323
320444341, 45.592082147221|-122.71997266966
402465145, 45.591565910277|-122.72758961321
376120983, 45.59055950457|-122.70763203024
381066008, 45.585722312932|-122.7333209684
381070790, 45.581508950088|-122.71814495444
383207852, 45.590286170787|-122.72824523877
414691814, 45.58734042758|-122.7255741417
40081046, 45.587418729657|-122.72213780637
134523940, 45.589721934202|-122.72743850654
100173942, 45.595891578158|-122.74790191526
414688939, 45.586823216533|-122.74104615137
414685622, 45.587791844089|-122.74886275839
86347309, 45.591028454336|-122.74564629452
404427789, 45.592123836828|-122.75290635984
384641549, 45.592267509817|-122.7372512452
400127040, 45.59331118823|-122.72924521571
335221380, 45.58858867234|-122.75580125164
63835111, 45.59297626255|-122.7352533484
63844563, 45.587465266995|-122.74374875978
63896606, 45.586423359703|-122.73934969059
63889488, 45.587752509031|-122.73876319114
63877387, 45.587374455553|-122.75574802752
64148317, 45.586471074004|-122.73954174413
64008250, 45.59331498998|-122.75564539021
63946336, 45.586118106859|-122.75256058195
63952579, 45.600838897769|-122.76060571502
219083010, 45.593964212306|-122.74092041105
219478565, 45.589674764489|-122.75705802527
175944499, 45.587882030379|-122.75000005489
62502874, 45.590217082226|-122.73391001484
26732686, 45.585350775583|-122.74431231016
64623927, 45.592492647438|-122.75421564198
64394900, 45.592088932865|-122.75834515649
64448735, 45.589955263517|-122.7405002877
64469195, 45.585155960273|-122.74874898772
121340734, 45.586931711106|-122.75892068677
88854842, 45.585884340193|-122.74634944755
63823602, 45.586039616202|-122.74473124968
63808709, 45.550375150183|-122.66761438525
63791898, 45.531887405983|-122.64881446005
63760428, 45.549527855922|-122.66948131261
63766727, 45.533289361071|-122.65912192692
63829491, 45.53766678752|-122.66678527745
63826988, 45.542335501446|-122.67230978329
62843376, 45.549720235356|-122.67800184301
63031814, 45.550515899988|-122.67121078462
63342714, 45.534194474716|-122.66692386722
63760705, 45.531891324482|-122.64881509639
63758873, 45.531889611553|-122.64881421583
63752810, 45.551517762858|-122.6776749742
63752862, 45.533637190714|-122.65043580966
63374805, 45.550792886853|-122.67054252047
63379161, 45.547624176796|-122.67632234522
97423507, 45.553700597381|-122.67766104409
64496246, 45.551223220321|-122.67447694368
64584287, 45.547972925709|-122.67770032592
175927246, 45.531888699788|-122.64881516211
175775452, 45.550530237199|-122.67551553626
175918779, 45.533722349514|-122.65555677866
175921059, 45.531890216669|-122.64881424464
111764839, 45.550527997165|-122.67551947046
111876962, 45.551303726986|-122.67767524775
175740555, 45.549447620076|-122.67661445014
26723496, 45.552391348834|-122.67659975876
3259206, 45.533302976395|-122.66317713474
63957738, 45.549962238812|-122.67122110961
63946669, 45.549119344371|-122.67769348572
63994132, 45.533306388062|-122.66317873681
63994553, 45.531493829805|-122.66246787232
63979699, 45.55389409299|-122.67337883012
64128108, 45.547536318007|-122.67770505115
64074218, 45.551364036711|-122.67230355009
64170918, 45.549529157899|-122.6697349538
64222766, 45.547493085676|-122.67007534332
64190743, 45.548471486945|-122.67769726785
63877976, 45.5546289179|-122.67717703688
63889557, 45.544763238627|-122.66756531905
63889745, 45.548627585503|-122.67231053175
63889841, 45.552948566324|-122.67766214838
63889061, 45.549724864471|-122.67705449406
63889115, 45.54628582646|-122.67261715959
63889190, 45.550372312117|-122.67121370978
63887882, 45.547608411095|-122.66921079021
63888209, 45.548257416906|-122.66815275252
63888239, 45.548418282554|-122.67012827219
63888339, 45.549814465722|-122.67660986636
63894900, 45.531494914827|-122.6624669245
63891208, 45.549251394907|-122.67090896473
63891290, 45.549647202331|-122.67660837039
63890304, 45.553082430841|-122.67627694354
63890327, 45.552249155158|-122.67628876022
63890471, 45.553227421864|-122.67766630101
63890490, 45.550656567425|-122.66901831591
63890515, 45.551077431357|-122.67340029554
63909607, 45.531887729978|-122.64881539001
63909617, 45.533637935476|-122.65043490262
63909633, 45.531887813782|-122.6488150531
63909742, 45.534114052744|-122.65119065167
63909963, 45.531184888925|-122.64648979732
63910039, 45.531888071156|-122.64881471821
63910190, 45.533302490356|-122.66317721718
63910625, 45.531889091245|-122.6488167105
63910732, 45.531463606258|-122.64692845497
63910778, 45.531180969042|-122.64649162986
63910818, 45.531891832369|-122.64881517303
63911083, 45.533608354316|-122.64752408358
63911456, 45.531639231536|-122.64845677265
63911608, 45.533636812164|-122.65043490696
63911967, 45.53330233864|-122.66317788671
63912060, 45.531639953957|-122.64845307013
63912084, 45.533304459684|-122.66317929778
